kp,ki,kd,max_integral,setpoint,mean,std,mean_error,overshoot,pct_within_8cm,conv_time_s
0.04,0.08,0.01,0.05,1.0,1.0069,0.0321,-0.0069,0.3759,98.4,0.69
0.04,0.08,0.01,0.05,1.5,1.4955,0.0277,0.0045,0.3765,100.0,0.97
0.04,0.08,0.01,0.05,2.0,2.0319,0.0225,-0.0319,0.0884,98.8,2.28
0.04,0.12,0.01,0.08,1.0,0.9972,0.0406,0.0028,0.3956,94.8,0.71
0.04,0.12,0.01,0.08,1.5,1.4905,0.0306,0.0095,0.3615,99.6,1.0
0.04,0.12,0.01,0.08,2.0,2.0346,0.0226,-0.0346,0.0906,98.8,2.01
0.05,0.15,0.01,0.1,1.0,0.9942,0.0318,0.0058,0.3745,98.4,0.67
0.05,0.15,0.01,0.1,1.5,1.4894,0.0256,0.0106,0.3581,100.0,0.97
0.05,0.15,0.01,0.1,2.0,2.0215,0.0195,-0.0215,0.0739,100.0,2.19
0.06,0.15,0.01,0.1,1.0,0.9945,0.0308,0.0055,0.3518,100.0,0.73
0.06,0.15,0.01,0.1,1.5,1.4949,0.0376,0.0051,0.3442,94.4,0.97
0.06,0.15,0.01,0.1,2.0,2.0303,0.0215,-0.0303,0.0964,98.0,1.97
0.05,0.2,0.02,0.12,1.0,0.9988,0.0324,0.0012,0.3838,99.6,0.68
0.05,0.2,0.02,0.12,1.5,1.4907,0.0388,0.0093,0.3496,93.2,0.14
0.05,0.2,0.02,0.12,2.0,2.0148,0.0218,-0.0148,0.1062,99.6,2.12
0.03,0.1,0.01,0.08,1.0,1.0085,0.0343,-0.0085,0.3241,96.4,0.7
0.03,0.1,0.01,0.08,1.5,1.498,0.0332,0.002,0.315,98.8,1.01
0.03,0.1,0.01,0.08,2.0,2.0045,0.0251,-0.0045,0.0778,100.0,2.42
0.03,0.15,0.01,0.1,1.0,1.0128,0.0353,-0.0128,0.3477,95.2,0.75
0.03,0.15,0.01,0.1,1.5,1.4893,0.0327,0.0107,0.3339,99.6,1.0
0.03,0.15,0.01,0.1,2.0,2.0069,0.0563,-0.0069,0.0854,92.0,2.14
0.03,0.2,0.01,0.12,1.0,0.998,0.0247,0.002,0.3855,100.0,0.72
0.03,0.2,0.01,0.12,1.5,1.4881,0.0336,0.0119,0.3245,98.4,0.92
0.03,0.2,0.01,0.12,2.0,1.9551,0.1749,0.0449,0.1032,88.0,2.25
0.03,0.25,0.01,0.15,1.0,0.996,0.0295,0.004,0.3203,99.6,0.76
0.03,0.25,0.01,0.15,1.5,1.4961,0.0246,0.0039,0.2966,100.0,0.95
0.03,0.25,0.01,0.15,2.0,1.8355,0.0238,0.1645,0.0,0.0,3.77
0.05,0.1,0.01,0.08,1.0,0.9998,0.0345,0.0002,0.2718,97.6,0.71
0.05,0.1,0.01,0.08,1.5,1.5012,0.027,-0.0012,0.272,100.0,0.93
0.05,0.1,0.01,0.08,2.0,1.8883,0.024,0.1117,0.0,8.8,2.41
0.05,0.25,0.01,0.15,1.0,1.0079,0.0405,-0.0079,0.3466,94.0,0.75
0.05,0.25,0.01,0.15,1.5,1.4992,0.0247,0.0008,0.3266,99.6,1.03
0.05,0.25,0.01,0.15,2.0,1.8201,0.0349,0.1799,0.0,0.0,2.26
0.05,0.3,0.02,0.15,1.0,0.9993,0.0227,0.0007,0.2328,100.0,0.88
0.05,0.3,0.02,0.15,1.5,1.4859,0.0318,0.0141,0.2558,99.2,1.08
0.05,0.3,0.02,0.15,2.0,1.7686,0.0226,0.2314,0.0,0.0,5.8
0.08,0.15,0.01,0.1,1.0,0.9992,0.0278,0.0008,0.2499,99.6,0.85
0.08,0.15,0.01,0.1,1.5,1.4898,0.0346,0.0102,0.2506,98.4,1.3
0.08,0.15,0.01,0.1,2.0,1.7508,0.0212,0.2492,0.0,0.0,no convergió
0.08,0.2,0.02,0.12,1.0,1.0008,0.0229,-0.0008,0.212,99.6,0.8
0.08,0.2,0.02,0.12,1.5,1.4801,0.0357,0.0199,0.2662,97.2,0.17
0.08,0.2,0.02,0.12,2.0,1.7669,0.0205,0.2331,0.0,0.0,no convergió
0.1,0.2,0.02,0.12,1.0,1.0004,0.0232,-0.0004,0.2099,100.0,0.85
0.1,0.2,0.02,0.12,1.5,1.4927,0.0362,0.0073,0.269,96.4,1.15
0.1,0.2,0.02,0.12,2.0,1.76,0.0221,0.24,0.0,0.0,no convergió
0.05,0.15,0.05,0.1,1.0,0.9989,0.0258,0.0011,0.2486,100.0,0.88
0.05,0.15,0.05,0.1,1.5,1.4858,0.0322,0.0142,0.2581,98.0,1.15
0.05,0.15,0.05,0.1,2.0,1.7573,0.0225,0.2427,0.0,0.0,no convergió
0.05,0.2,0.05,0.12,1.0,0.9986,0.0276,0.0014,0.2387,99.6,0.83
0.05,0.2,0.05,0.12,1.5,1.4912,0.03,0.0088,0.2684,98.8,1.16
0.05,0.2,0.05,0.12,2.0,1.7508,0.0212,0.2492,0.0,0.0,5.34
0.06,0.15,0.05,0.1,1.0,1.0003,0.0232,-0.0003,0.2198,99.6,0.78
0.06,0.15,0.05,0.1,1.5,1.4844,0.0259,0.0156,0.2436,99.6,1.16
0.06,0.15,0.05,0.1,2.0,1.7841,0.0259,0.2159,0.0,0.0,6.92
0.04,0.15,0.01,0.2,1.0,1.0003,0.0226,-0.0003,0.2161,100.0,0.88
0.04,0.15,0.01,0.2,1.5,1.4882,0.0287,0.0118,0.229,100.0,1.07
0.04,0.15,0.01,0.2,2.0,1.7651,0.0202,0.2349,0.0,0.0,no convergió
0.05,0.15,0.01,0.2,1.0,0.9991,0.0239,0.0009,0.2255,100.0,0.82
0.05,0.15,0.01,0.2,1.5,1.4832,0.0349,0.0168,0.2371,96.8,1.1
0.05,0.15,0.01,0.2,2.0,1.7464,0.0216,0.2536,0.0,0.0,no convergió
0.05,0.2,0.01,0.2,1.0,1.0001,0.0234,-0.0001,0.225,100.0,0.87
0.05,0.2,0.01,0.2,1.5,1.4914,0.0329,0.0086,0.2302,99.2,1.17
0.05,0.2,0.01,0.2,2.0,1.7459,0.02,0.2541,0.0,0.0,no convergió
